features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_MCC,train_LS,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_MCC,test_LS
SVMSelector,RF,"{'criterion': 'squared_error', 'n_estimators': 60}",RandomForestRegressor(n_estimators=60),0.92646956,0.844925787,0.84236055,0.841490495,0.841611955,9.84742239,4.009945191,0.877169615,0.744026556,0.696774194,0.715161297,0.702742777,0.626689473,2.866908028
SVMSelector,SVM,"{'C': 15.0, 'gamma': 'auto', 'kernel': 'rbf'}","SVR(C=15.0, gamma='auto')",0.812980135,0.638766604,0.639450283,0.631718682,0.635390267,1.568945945,3.127930526,0.848480749,0.688837208,0.65483871,0.66839653,0.659291814,0.553295059,2.643969647
SVMSelector,LR,{'fit_intercept': False},LinearRegression(fit_intercept=False),0.763067347,0.532830608,0.547291835,0.538581182,0.543464089,5.145493022,2.269664753,0.850364204,0.629897069,0.648387097,0.630549314,0.639530947,0.516396753,2.278566595
SVMSelector,KNN,{'n_neighbors': 5},KNeighborsRegressor(),0.82824969,0.663327602,0.654810024,0.649561472,0.651802823,2.964625604,2.961254402,0.862122789,0.718300757,0.65483871,0.672872048,0.658264374,0.578448905,2.733598473
SVMSelector,DT,{'criterion': 'squared_error'},DecisionTreeRegressor(),1,1,1,1,1,1.254425616,5,0.849760666,0.681664805,0.648387097,0.662365016,0.653313638,0.548652076,2.507973847
SVMSelector,AdaBoost,"{'loss': 'linear', 'n_estimators': 40}",AdaBoostRegressor(n_estimators=40),0.671959764,0.427936596,0.420371867,0.367015065,0.384820743,1.201439871,2.375966907,0.830270552,0.598713328,0.629032258,0.600913669,0.615279967,0.471149402,2.394654591
SVMSelector,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 30, 'max_iter': 1600, 'solver': 'lbfgs'}","MLPRegressor(alpha=0.1, hidden_layer_sizes=30, max_iter=1600, solver='lbfgs')",0.830922597,0.678494952,0.667744543,0.669405892,0.667811852,3.825910006,3.175907553,0.847575442,0.681977891,0.658064516,0.668255662,0.661642668,0.550014593,2.672737299
RFSelector,RF,"{'criterion': 'absolute_error', 'n_estimators': 80}","RandomForestRegressor(criterion='absolute_error', n_estimators=80)",0.785489707,0.593096069,0.593371059,0.592250603,0.592747941,0.3146859,2.718604523,0.815723205,0.605164875,0.590322581,0.595967959,0.592055539,0.451588318,2.151368787
RFSelector,SVM,"{'C': 5.0, 'gamma': 'auto', 'kernel': 'rbf'}","SVR(C=5.0, gamma='auto')",0.722801207,0.458155643,0.468067906,0.46178845,0.465257278,0.189802879,1.806441454,0.848262227,0.645779647,0.632258065,0.638472176,0.634598145,0.52042894,2.288792906
RFSelector,LR,{'fit_intercept': False},LinearRegression(fit_intercept=False),0.708577941,0.428889988,0.44785772,0.434388025,0.441544035,2.207425103,1.707676812,0.843975026,0.608459545,0.632258065,0.618507833,0.62633395,0.494416753,2.071254525
