features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_MCC,train_LS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_MCC,test_LS,test_ROC_AUC
MI,DT,"{'criterion': 'log_loss', 'splitter': 'random'}","DecisionTreeClassifier(criterion='log_loss', splitter='random')",1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7528,0.5247,0.5097,0.5146,0.5146,0.3395,2.2671,0.6809
MI,AdaBoost,"{'algorithm': 'SAMME.R', 'n_estimators': 60}",AdaBoostClassifier(n_estimators=60),0.8056,0.5001,0.514,0.5008,0.5008,0.3853,2.5004,0.7493,0.718,0.4526,0.4323,0.4315,0.4315,0.2402,1.8606,0.6633
ANOVA,RF,{'n_estimators': 55},RandomForestClassifier(n_estimators=55),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7653,0.5323,0.5032,0.5151,0.5151,0.3499,2.0126,0.7985
ANOVA,SVM,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}","SVC(C=1000, gamma=1, probability=True)",0.9971,0.9927,0.9926,0.9926,0.9926,0.9908,4.9635,0.9987,0.7517,0.5157,0.5161,0.5107,0.5107,0.3304,2.1847,0.7295
ANOVA,LR,"{'C': 10, 'max_iter': 200}","LogisticRegression(C=10, max_iter=200)",0.7802,0.4602,0.4506,0.4409,0.4409,0.3156,2.3008,0.7603,0.6815,0.3833,0.3484,0.3465,0.3465,0.1445,1.4929,0.7296
ANOVA,KNN,{'n_neighbors': 3},KNeighborsClassifier(n_neighbors=3),0.9371,0.8422,0.8428,0.8364,0.8364,0.802,4.2108,0.9829,0.7357,0.4767,0.4516,0.4609,0.4609,0.2758,1.8159,0.6842
ANOVA,DT,"{'criterion': 'gini', 'splitter': 'best'}",DecisionTreeClassifier(),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7295,0.4733,0.4548,0.4628,0.4628,0.2688,1.8448,0.6159
ANOVA,AdaBoost,"{'algorithm': 'SAMME.R', 'n_estimators': 45}",AdaBoostClassifier(n_estimators=45),0.8056,0.496,0.514,0.4903,0.4903,0.3826,2.4802,0.7766,0.7064,0.4099,0.4161,0.3851,0.3851,0.2045,1.6656,0.6757
ANOVA,MLP,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': 100, 'max_iter': 1900, 'solver': 'lbfgs'}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=100,
              max_iter=1900, solver='lbfgs')",0.9932,0.9831,0.983,0.983,0.983,0.9788,4.9155,0.9994,0.7632,0.537,0.5258,0.5278,0.5278,0.3563,2.1812,0.7841
MI,RF,{'n_estimators': 75},RandomForestClassifier(n_estimators=75),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.8059,0.6037,0.5903,0.5933,0.5933,0.4565,2.4479,0.8536
MI,SVM,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}","SVC(C=1000, gamma=1, probability=True)",1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7903,0.5871,0.5806,0.5802,0.5802,0.43,2.5814,0.8144
MI,LR,"{'C': 10, 'max_iter': 200}","LogisticRegression(C=10, max_iter=200)",0.7992,0.4884,0.4979,0.4859,0.4859,0.3672,2.4422,0.8036,0.7076,0.4424,0.429,0.4259,0.4259,0.2257,1.9162,0.7757
MI,KNN,{'n_neighbors': 3},KNeighborsClassifier(n_neighbors=3),0.9469,0.8651,0.8671,0.8624,0.8624,0.8323,4.3256,0.9855,0.7539,0.5217,0.5032,0.5084,0.5084,0.337,2.1876,0.7117
MI,DT,"{'criterion': 'log_loss', 'splitter': 'best'}",DecisionTreeClassifier(criterion='log_loss'),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7921,0.5577,0.5484,0.5509,0.5509,0.403,2.0725,0.6573
MI,AdaBoost,"{'algorithm': 'SAMME.R', 'n_estimators': 60}",AdaBoostClassifier(n_estimators=60),0.8056,0.5001,0.514,0.5008,0.5008,0.3853,2.5004,0.7493,0.718,0.4526,0.4323,0.4315,0.4315,0.2402,1.8606,0.6633
MI,MLP,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': 100, 'max_iter': 1600, 'solver': 'lbfgs'}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=100,
              max_iter=1600, solver='lbfgs')",0.9996,0.9991,0.9991,0.9991,0.9991,0.9989,4.9954,1.0,0.8118,0.6296,0.6194,0.6208,0.6208,0.4864,2.7393,0.8482
